Year,variable,method,value,parameter_value,growth_rate
2028,EBITDA,man_inp_growth,1436282100.0,0.1,0.1
2029,EBITDA,man_inp_growth,1579910310.0,0.1,0.1
2030,EBITDA,man_inp_growth,1737901341.0,0.1,0.1
2031,EBITDA,man_inp_growth,1911691475.0,0.1,0.1
2032,EBITDA,man_inp_growth,2102860623.0,0.1,0.1
2033,EBITDA,man_inp_growth,2313146685.0,0.1,0.1
2034,EBITDA,man_inp_growth,2544461353.0,0.1,0.1
2025,Net Income,cagr,657800000.0,0.15,0.15
2026,Net Income,cagr,756470000.0,0.15,0.15
2027,Net Income,cagr,869940500.0,0.15,0.15
2028,Net Income,cagr,1000431575.0,0.15,0.15
2029,Net Income,cagr,1150496311.0,0.15,0.15
2030,Net Income,cagr,1323070758.0,0.15,0.15
2031,Net Income,cagr,1521531372.0,0.15,0.15
2032,Net Income,cagr,1749761077.0,0.15,0.15
2033,Net Income,cagr,2012225239.0,0.15,0.15
2034,Net Income,cagr,2314059025.0,0.15,0.15
2025,Net Income,slope,470500000.0,274400000.0,-0.18
2026,Net Income,slope,744900000.0,274400000.0,0.58
2027,Net Income,slope,1019300000.0,274400000.0,0.37
2028,Net Income,slope,1293700000.0,274400000.0,0.27
2029,Net Income,slope,1568100000.0,274400000.0,0.21
2030,Net Income,slope,1842500000.0,274400000.0,0.17
2031,Net Income,slope,2116900000.0,274400000.0,0.15
2032,Net Income,slope,2391300000.0,274400000.0,0.13
2033,Net Income,slope,2665700000.0,274400000.0,0.11
2034,Net Income,slope,2940100000.0,274400000.0,0.1
2025,Net Income,man_inp_growth,629200000.0,0.1,0.1
2026,Net Income,man_inp_growth,692120000.0,0.1,0.1
2027,Net Income,man_inp_growth,761332000.0,0.1,0.1
2028,Net Income,man_inp_growth,837465200.0,0.1,0.1
2029,Net Income,man_inp_growth,921211720.0,0.1,0.1
2030,Net Income,man_inp_growth,1013332892.0,0.1,0.1
2031,Net Income,man_inp_growth,1114666181.0,0.1,0.1
2032,Net Income,man_inp_growth,1226132799.0,0.1,0.1
2033,Net Income,man_inp_growth,1348746079.0,0.1,0.1
2034,Net Income,man_inp_growth,1483620687.0,0.1,0.1
2025,Total Debt,cagr,3831800000.0,0.15,0.15
2026,Total Debt,cagr,4406570000.0,0.15,0.15
2027,Total Debt,cagr,5067555500.0,0.15,0.15
2028,Total Debt,cagr,5827688825.0,0.15,0.15
2029,Total Debt,cagr,6701842149.0,0.15,0.15
2030,Total Debt,cagr,7707118471.0,0.15,0.15
2031,Total Debt,cagr,8863186242.0,0.15,0.15
2032,Total Debt,cagr,10192664178.0,0.15,0.15
2033,Total Debt,cagr,11721563805.0,0.15,0.15
2034,Total Debt,cagr,13479798375.0,0.15,0.15
2025,Total Debt,slope,4246500000.0,646500000.0,0.27
2026,Total Debt,slope,4893000000.0,646500000.0,0.15
2027,Total Debt,slope,5539500000.0,646500000.0,0.13
2028,Total Debt,slope,6186000000.0,646500000.0,0.12
2029,Total Debt,slope,6832500000.0,646500000.0,0.1
2030,Total Debt,slope,7479000000.0,646500000.0,0.09
2031,Total Debt,slope,8125500000.0,646500000.0,0.09
2032,Total Debt,slope,8772000000.0,646500000.0,0.08
2033,Total Debt,slope,9418500000.0,646500000.0,0.07
2034,Total Debt,slope,10065000000.0,646500000.0,0.07
2025,Total Debt,man_inp_growth,3665200000.0,0.1,0.1
2026,Total Debt,man_inp_growth,4031720000.0,0.1,0.1
2027,Total Debt,man_inp_growth,4434892000.0,0.1,0.1
2028,Total Debt,man_inp_growth,4878381200.0,0.1,0.1
2029,Total Debt,man_inp_growth,5366219320.0,0.1,0.1
2030,Total Debt,man_inp_growth,5902841252.0,0.1,0.1
2031,Total Debt,man_inp_growth,6493125377.0,0.1,0.1
2032,Total Debt,man_inp_growth,7142437915.0,0.1,0.1
2033,Total Debt,man_inp_growth,7856681706.0,0.1,0.1
2034,Total Debt,man_inp_growth,8642349877.0,0.1,0.1
2025,Cash,cagr,3881250000.0,0.15,0.15
2026,Cash,cagr,4463437500.0,0.15,0.15
2027,Cash,cagr,5132953125.0,0.15,0.15
2028,Cash,cagr,5902896094.0,0.15,0.15
2029,Cash,cagr,6788330508.0,0.15,0.15
2030,Cash,cagr,7806580084.0,0.15,0.15
2031,Cash,cagr,8977567097.0,0.15,0.15
2032,Cash,cagr,10324202161.0,0.15,0.15
2033,Cash,cagr,11872832485.0,0.15,0.15
2034,Cash,cagr,13653757358.0,0.15,0.15
2025,Cash,slope,4232000000.0,510900000.0,0.25
2026,Cash,slope,4742900000.0,510900000.0,0.12
2027,Cash,slope,5253800000.0,510900000.0,0.11
2028,Cash,slope,5764700000.0,510900000.0,0.1
2029,Cash,slope,6275600000.0,510900000.0,0.09
2030,Cash,slope,6786500000.0,510900000.0,0.08
2031,Cash,slope,7297400000.0,510900000.0,0.08
2032,Cash,slope,7808300000.0,510900000.0,0.07
2033,Cash,slope,8319200000.0,510900000.0,0.07
2034,Cash,slope,8830100000.0,510900000.0,0.06
2025,Cash,man_inp_growth,3712500000.0,0.1,0.1
2026,Cash,man_inp_growth,4083750000.0,0.1,0.1
2027,Cash,man_inp_growth,4492125000.0,0.1,0.1
2028,Cash,man_inp_growth,4941337500.0,0.1,0.1
2029,Cash,man_inp_growth,5435471250.0,0.1,0.1
2030,Cash,man_inp_growth,5979018375.0,0.1,0.1
2031,Cash,man_inp_growth,6576920213.0,0.1,0.1
2032,Cash,man_inp_growth,7234612234.0,0.1,0.1
2033,Cash,man_inp_growth,7958073457.0,0.1,0.1
2034,Cash,man_inp_growth,8753880803.0,0.1,0.1
2025,Operating Cash Flow,cagr,3582250000.0,0.15,0.15
2026,Operating Cash Flow,cagr,4119587500.0,0.15,0.15
2027,Operating Cash Flow,cagr,4737525625.0,0.15,0.15
2028,Operating Cash Flow,cagr,5448154469.0,0.15,0.15
2029,Operating Cash Flow,cagr,6265377639.0,0.15,0.15
2030,Operating Cash Flow,cagr,7205184285.0,0.15,0.15
2031,Operating Cash Flow,cagr,8285961928.0,0.15,0.15
2032,Operating Cash Flow,cagr,9528856217.0,0.15,0.15
2033,Operating Cash Flow,cagr,10958184649.0,0.15,0.15
2034,Operating Cash Flow,cagr,12601912347.0,0.15,0.15
2025,Operating Cash Flow,slope,2367500000.0,535000000.0,-0.24
2026,Operating Cash Flow,slope,2902500000.0,535000000.0,0.23
2027,Operating Cash Flow,slope,3437500000.0,535000000.0,0.18
2028,Operating Cash Flow,slope,3972500000.0,535000000.0,0.16
2029,Operating Cash Flow,slope,4507500000.0,535000000.0,0.13
2030,Operating Cash Flow,slope,5042500000.0,535000000.0,0.12
2031,Operating Cash Flow,slope,5577500000.0,535000000.0,0.11
2032,Operating Cash Flow,slope,6112500000.0,535000000.0,0.1
2033,Operating Cash Flow,slope,6647500000.0,535000000.0,0.09
2034,Operating Cash Flow,slope,7182500000.0,535000000.0,0.08
2025,Operating Cash Flow,man_inp_growth,3426500000.0,0.1,0.1
2026,Operating Cash Flow,man_inp_growth,3769150000.0,0.1,0.1
2027,Operating Cash Flow,man_inp_growth,4146065000.0,0.1,0.1
2028,Operating Cash Flow,man_inp_growth,4560671500.0,0.1,0.1
2029,Operating Cash Flow,man_inp_growth,5016738650.0,0.1,0.1
2030,Operating Cash Flow,man_inp_growth,5518412515.0,0.1,0.1
2031,Operating Cash Flow,man_inp_growth,6070253767.0,0.1,0.1
2032,Operating Cash Flow,man_inp_growth,6677279143.0,0.1,0.1
2033,Operating Cash Flow,man_inp_growth,7345007057.0,0.1,0.1
2034,Operating Cash Flow,man_inp_growth,8079507763.0,0.1,0.1
2025,Net Debt,cagr,,,
2026,Net Debt,cagr,,,
2027,Net Debt,cagr,,,
2028,Net Debt,cagr,,,
2029,Net Debt,cagr,,,
2030,Net Debt,cagr,,,
2031,Net Debt,cagr,,,
2032,Net Debt,cagr,,,
2033,Net Debt,cagr,,,
2034,Net Debt,cagr,,,
2025,Net Debt,slope,14500000.0,135600000.0,-1.34
2026,Net Debt,slope,150100000.0,135600000.0,9.35
2027,Net Debt,slope,285700000.0,135600000.0,0.9
2028,Net Debt,slope,421300000.0,135600000.0,0.47
2029,Net Debt,slope,556900000.0,135600000.0,0.32
2030,Net Debt,slope,692500000.0,135600000.0,0.24
2031,Net Debt,slope,828100000.0,135600000.0,0.2
2032,Net Debt,slope,963700000.0,135600000.0,0.16
2033,Net Debt,slope,1099300000.0,135600000.0,0.14
2034,Net Debt,slope,1234900000.0,135600000.0,0.12
2025,Net Debt,man_inp_growth,-47300000.0,0.1,0.1
2026,Net Debt,man_inp_growth,-52030000.0,0.1,0.1
2027,Net Debt,man_inp_growth,-57233000.0,0.1,0.1
2028,Net Debt,man_inp_growth,-62956300.0,0.1,0.1
2029,Net Debt,man_inp_growth,-69251930.0,0.1,0.1
2030,Net Debt,man_inp_growth,-76177123.0,0.1,0.1
2031,Net Debt,man_inp_growth,-83794835.0,0.1,0.1
2032,Net Debt,man_inp_growth,-92174319.0,0.1,0.1
2033,Net Debt,man_inp_growth,-101391751.0,0.1,0.1
2034,Net Debt,man_inp_growth,-111530926.0,0.1,0.1
2025,Current Assets,cagr,17715988793.0,0.08,0.08
2026,Current Assets,cagr,19087530190.0,0.08,0.08
2027,Current Assets,cagr,20565253965.0,0.08,0.08
2028,Current Assets,cagr,22157380573.0,0.08,0.08
2029,Current Assets,cagr,23872766887.0,0.08,0.08
2030,Current Assets,cagr,25720955460.0,0.08,0.08
2031,Current Assets,cagr,27712227615.0,0.08,0.08
2032,Current Assets,cagr,29857660637.0,0.08,0.08
2033,Current Assets,cagr,32169189396.0,0.08,0.08
2034,Current Assets,cagr,34659672738.0,0.08,0.08
2025,Current Assets,slope,17117500000.0,1096800000.0,0.04
2026,Current Assets,slope,18214300000.0,1096800000.0,0.06
2027,Current Assets,slope,19311100000.0,1096800000.0,0.06
2028,Current Assets,slope,20407900000.0,1096800000.0,0.06
2029,Current Assets,slope,21504700000.0,1096800000.0,0.05
2030,Current Assets,slope,22601500000.0,1096800000.0,0.05
2031,Current Assets,slope,23698300000.0,1096800000.0,0.05
2032,Current Assets,slope,24795100000.0,1096800000.0,0.05
2033,Current Assets,slope,25891900000.0,1096800000.0,0.04
2034,Current Assets,slope,26988700000.0,1096800000.0,0.04
2025,Current Assets,man_inp_growth,18087300000.0,0.1,0.1
2026,Current Assets,man_inp_growth,19896030000.0,0.1,0.1
2027,Current Assets,man_inp_growth,21885633000.0,0.1,0.1
2028,Current Assets,man_inp_growth,24074196300.0,0.1,0.1
2029,Current Assets,man_inp_growth,26481615930.0,0.1,0.1
2030,Current Assets,man_inp_growth,29129777523.0,0.1,0.1
2031,Current Assets,man_inp_growth,32042755275.0,0.1,0.1
2032,Current Assets,man_inp_growth,35247030803.0,0.1,0.1
2033,Current Assets,man_inp_growth,38771733883.0,0.1,0.1
2034,Current Assets,man_inp_growth,42648907271.0,0.1,0.1
2025,Current Liabilities,cagr,17302829956.0,0.07,0.07
2026,Current Liabilities,cagr,18483017933.0,0.07,0.07
