Year,variable,method,value,parameter_value,growth_rate
2026,Delta WC,slope,1188900000.0,438900000.0,0.59
2027,Delta WC,slope,1627800000.0,438900000.0,0.37
2028,Delta WC,slope,2066700000.0,438900000.0,0.27
2029,Delta WC,slope,2505600000.0,438900000.0,0.21
2030,Delta WC,slope,2944500000.0,438900000.0,0.18
2031,Delta WC,slope,3383400000.0,438900000.0,0.15
2032,Delta WC,slope,3822300000.0,438900000.0,0.13
2033,Delta WC,slope,4261200000.0,438900000.0,0.11
2034,Delta WC,slope,4700100000.0,438900000.0,0.1
2025,Delta WC,man_inp_growth,-158360000.0,0.07,0.07
2026,Delta WC,man_inp_growth,-169445200.0,0.07,0.07
2027,Delta WC,man_inp_growth,-181306364.0,0.07,0.07
2028,Delta WC,man_inp_growth,-193997809.0,0.07,0.07
2029,Delta WC,man_inp_growth,-207577656.0,0.07,0.07
2030,Delta WC,man_inp_growth,-222108092.0,0.07,0.07
2031,Delta WC,man_inp_growth,-237655659.0,0.07,0.07
2032,Delta WC,man_inp_growth,-254291555.0,0.07,0.07
2033,Delta WC,man_inp_growth,-272091963.0,0.07,0.07
2034,Delta WC,man_inp_growth,-291138401.0,0.07,0.07
2025,Tax Provision,cagr,214072377.0,-0.14,-0.14
2026,Tax Provision,cagr,183307930.0,-0.14,-0.14
2027,Tax Provision,cagr,156964657.0,-0.14,-0.14
2028,Tax Provision,cagr,134407189.0,-0.14,-0.14
2029,Tax Provision,cagr,115091465.0,-0.14,-0.14
2030,Tax Provision,cagr,98551614.0,-0.14,-0.14
2031,Tax Provision,cagr,84388713.0,-0.14,-0.14
2032,Tax Provision,cagr,72261170.0,-0.14,-0.14
2033,Tax Provision,cagr,61876481.0,-0.14,-0.14
2034,Tax Provision,cagr,52984182.0,-0.14,-0.14
2025,Tax Provision,slope,100000000.0,-61500000.0,-0.6
2026,Tax Provision,slope,38500000.0,-61500000.0,-0.61
2027,Tax Provision,slope,-23000000.0,-61500000.0,-1.6
2028,Tax Provision,slope,-84500000.0,-61500000.0,2.67
2029,Tax Provision,slope,-146000000.0,-61500000.0,0.73
2030,Tax Provision,slope,-207500000.0,-61500000.0,0.42
2031,Tax Provision,slope,-269000000.0,-61500000.0,0.3
2032,Tax Provision,slope,-330500000.0,-61500000.0,0.23
2033,Tax Provision,slope,-392000000.0,-61500000.0,0.19
2034,Tax Provision,slope,-453500000.0,-61500000.0,0.16
2025,Tax Provision,man_inp_growth,267500000.0,0.07,0.07
2026,Tax Provision,man_inp_growth,286225000.0,0.07,0.07
2027,Tax Provision,man_inp_growth,306260750.0,0.07,0.07
2028,Tax Provision,man_inp_growth,327699003.0,0.07,0.07
2029,Tax Provision,man_inp_growth,350637933.0,0.07,0.07
2030,Tax Provision,man_inp_growth,375182588.0,0.07,0.07
2031,Tax Provision,man_inp_growth,401445369.0,0.07,0.07
2032,Tax Provision,man_inp_growth,429546545.0,0.07,0.07
2033,Tax Provision,man_inp_growth,459614803.0,0.07,0.07
2034,Tax Provision,man_inp_growth,491787839.0,0.07,0.07
2025,Pretax Income,cagr,954391927.0,-0.16,-0.16
2026,Pretax Income,cagr,804650133.0,-0.16,-0.16
2027,Pretax Income,cagr,678402466.0,-0.16,-0.16
2028,Pretax Income,cagr,571962753.0,-0.16,-0.16
2029,Pretax Income,cagr,482223175.0,-0.16,-0.16
2030,Pretax Income,cagr,406563521.0,-0.16,-0.16
2031,Pretax Income,cagr,342774684.0,-0.16,-0.16
2032,Pretax Income,cagr,288994162.0,-0.16,-0.16
