Year,variable,method,value,parameter_value,growth_rate
2029,Current Liabilities,slope,663400000.0,13100000.0,0.02
2030,Current Liabilities,slope,676500000.0,13100000.0,0.02
2031,Current Liabilities,slope,689600000.0,13100000.0,0.02
2032,Current Liabilities,slope,702700000.0,13100000.0,0.02
2033,Current Liabilities,slope,715800000.0,13100000.0,0.02
2034,Current Liabilities,slope,728900000.0,13100000.0,0.02
2025,Current Liabilities,man_inp_growth,805680000.0,0.08,0.08
2026,Current Liabilities,man_inp_growth,870134400.0,0.08,0.08
2027,Current Liabilities,man_inp_growth,939745152.0,0.08,0.08
2028,Current Liabilities,man_inp_growth,1014924764.0,0.08,0.08
2029,Current Liabilities,man_inp_growth,1096118745.0,0.08,0.08
2030,Current Liabilities,man_inp_growth,1183808245.0,0.08,0.08
2031,Current Liabilities,man_inp_growth,1278512905.0,0.08,0.08
2032,Current Liabilities,man_inp_growth,1380793937.0,0.08,0.08
2033,Current Liabilities,man_inp_growth,1491257452.0,0.08,0.08
2034,Current Liabilities,man_inp_growth,1610558048.0,0.08,0.08
2025,Delta WC,cagr,,,
2026,Delta WC,cagr,,,
2027,Delta WC,cagr,,,
2028,Delta WC,cagr,,,
2029,Delta WC,cagr,,,
2030,Delta WC,cagr,,,
2031,Delta WC,cagr,,,
2032,Delta WC,cagr,,,
2033,Delta WC,cagr,,,
2034,Delta WC,cagr,,,
2025,Delta WC,slope,69500000.0,44400000.0,-3.4
2026,Delta WC,slope,113900000.0,44400000.0,0.64
2027,Delta WC,slope,158300000.0,44400000.0,0.39
2028,Delta WC,slope,202700000.0,44400000.0,0.28
2029,Delta WC,slope,247100000.0,44400000.0,0.22
2030,Delta WC,slope,291500000.0,44400000.0,0.18
2031,Delta WC,slope,335900000.0,44400000.0,0.15
2032,Delta WC,slope,380300000.0,44400000.0,0.13
2033,Delta WC,slope,424700000.0,44400000.0,0.12
2034,Delta WC,slope,469100000.0,44400000.0,0.1
2025,Delta WC,man_inp_growth,-31320000.0,0.08,0.08
2026,Delta WC,man_inp_growth,-33825600.0,0.08,0.08
2027,Delta WC,man_inp_growth,-36531648.0,0.08,0.08
2028,Delta WC,man_inp_growth,-39454180.0,0.08,0.08
2029,Delta WC,man_inp_growth,-42610514.0,0.08,0.08
2030,Delta WC,man_inp_growth,-46019355.0,0.08,0.08
2031,Delta WC,man_inp_growth,-49700904.0,0.08,0.08
2032,Delta WC,man_inp_growth,-53676976.0,0.08,0.08
2033,Delta WC,man_inp_growth,-57971134.0,0.08,0.08
2034,Delta WC,man_inp_growth,-62608825.0,0.08,0.08
2025,Tax Provision,cagr,169199577.0,0.17,0.17
2026,Tax Provision,cagr,198809007.0,0.17,0.17
2027,Tax Provision,cagr,233600000.0,0.17,0.17
2028,Tax Provision,cagr,274479315.0,0.17,0.17
2029,Tax Provision,cagr,322512389.0,0.17,0.17
2030,Tax Provision,cagr,378951111.0,0.17,0.17
2031,Tax Provision,cagr,445266444.0,0.17,0.17
2032,Tax Provision,cagr,523186765.0,0.17,0.17
2033,Tax Provision,cagr,614742914.0,0.17,0.17
2034,Tax Provision,cagr,722321120.0,0.17,0.17
2025,Tax Provision,slope,167500000.0,21600000.0,0.16
2026,Tax Provision,slope,189100000.0,21600000.0,0.13
2027,Tax Provision,slope,210700000.0,21600000.0,0.11
2028,Tax Provision,slope,232300000.0,21600000.0,0.1
2029,Tax Provision,slope,253900000.0,21600000.0,0.09
2030,Tax Provision,slope,275500000.0,21600000.0,0.09
2031,Tax Provision,slope,297100000.0,21600000.0,0.08
2032,Tax Provision,slope,318700000.0,21600000.0,0.07
2033,Tax Provision,slope,340300000.0,21600000.0,0.07
2034,Tax Provision,slope,361900000.0,21600000.0,0.06
2025,Tax Provision,man_inp_growth,155520000.0,0.08,0.08
2026,Tax Provision,man_inp_growth,167961600.0,0.08,0.08
2027,Tax Provision,man_inp_growth,181398528.0,0.08,0.08
2028,Tax Provision,man_inp_growth,195910410.0,0.08,0.08
2029,Tax Provision,man_inp_growth,211583243.0,0.08,0.08
2030,Tax Provision,man_inp_growth,228509903.0,0.08,0.08
2031,Tax Provision,man_inp_growth,246790695.0,0.08,0.08
2032,Tax Provision,man_inp_growth,266533950.0,0.08,0.08
2033,Tax Provision,man_inp_growth,287856666.0,0.08,0.08
2034,Tax Provision,man_inp_growth,310885200.0,0.08,0.08
2025,Pretax Income,cagr,839650144.0,0.21,0.21
2026,Pretax Income,cagr,1015867960.0,0.21,0.21
2027,Pretax Income,cagr,1229068702.0,0.21,0.21
2028,Pretax Income,cagr,1487013996.0,0.21,0.21
2029,Pretax Income,cagr,1799094403.0,0.21,0.21
2030,Pretax Income,cagr,2176671290.0,0.21,0.21
2031,Pretax Income,cagr,2633490435.0,0.21,0.21
2032,Pretax Income,cagr,3186182455.0,0.21,0.21
2033,Pretax Income,cagr,3854868238.0,0.21,0.21
2034,Pretax Income,cagr,4663891458.0,0.21,0.21
2025,Pretax Income,slope,760500000.0,107300000.0,0.1
