Year,variable,method,value,parameter_value,growth_rate
2026,CapEx,man_inp_growth,-964687500.0,0.05,0.05
2027,CapEx,man_inp_growth,-1012921875.0,0.05,0.05
2028,CapEx,man_inp_growth,-1063567969.0,0.05,0.05
2029,CapEx,man_inp_growth,-1116746367.0,0.05,0.05
2030,CapEx,man_inp_growth,-1172583686.0,0.05,0.05
2031,CapEx,man_inp_growth,-1231212870.0,0.05,0.05
2032,CapEx,man_inp_growth,-1292773513.0,0.05,0.05
2033,CapEx,man_inp_growth,-1357412189.0,0.05,0.05
2034,CapEx,man_inp_growth,-1425282798.0,0.05,0.05
2025,Operating Cash Flow,cagr,,,
2026,Operating Cash Flow,cagr,,,
2027,Operating Cash Flow,cagr,,,
2028,Operating Cash Flow,cagr,,,
2029,Operating Cash Flow,cagr,,,
2030,Operating Cash Flow,cagr,,,
2031,Operating Cash Flow,cagr,,,
2032,Operating Cash Flow,cagr,,,
2033,Operating Cash Flow,cagr,,,
2034,Operating Cash Flow,cagr,,,
2025,Operating Cash Flow,slope,,,
2026,Operating Cash Flow,slope,,,
2027,Operating Cash Flow,slope,,,
2028,Operating Cash Flow,slope,,,
2029,Operating Cash Flow,slope,,,
2030,Operating Cash Flow,slope,,,
2031,Operating Cash Flow,slope,,,
2032,Operating Cash Flow,slope,,,
2033,Operating Cash Flow,slope,,,
2034,Operating Cash Flow,slope,,,
2025,Operating Cash Flow,man_inp_growth,,0.05,0.05
2026,Operating Cash Flow,man_inp_growth,,0.05,0.05
2027,Operating Cash Flow,man_inp_growth,,0.05,0.05
2028,Operating Cash Flow,man_inp_growth,,0.05,0.05
2029,Operating Cash Flow,man_inp_growth,,0.05,0.05
2030,Operating Cash Flow,man_inp_growth,,0.05,0.05
2031,Operating Cash Flow,man_inp_growth,,0.05,0.05
2032,Operating Cash Flow,man_inp_growth,,0.05,0.05
2033,Operating Cash Flow,man_inp_growth,,0.05,0.05
2034,Operating Cash Flow,man_inp_growth,,0.05,0.05
2025,Net Issuance Payments Of Debt,cagr,,,
2026,Net Issuance Payments Of Debt,cagr,,,
2027,Net Issuance Payments Of Debt,cagr,,,
2028,Net Issuance Payments Of Debt,cagr,,,
2029,Net Issuance Payments Of Debt,cagr,,,
2030,Net Issuance Payments Of Debt,cagr,,,
2031,Net Issuance Payments Of Debt,cagr,,,
2032,Net Issuance Payments Of Debt,cagr,,,
2033,Net Issuance Payments Of Debt,cagr,,,
