Year,variable,method,value,parameter_value,growth_rate
2027,Net Debt,man_inp_growth,26744493325.0,0.03,0.03
2028,Net Debt,man_inp_growth,27546828125.0,0.03,0.03
2029,Net Debt,man_inp_growth,28373232968.0,0.03,0.03
2030,Net Debt,man_inp_growth,29224429958.0,0.03,0.03
2031,Net Debt,man_inp_growth,30101162856.0,0.03,0.03
2032,Net Debt,man_inp_growth,31004197742.0,0.03,0.03
2033,Net Debt,man_inp_growth,31934323674.0,0.03,0.03
2034,Net Debt,man_inp_growth,32892353384.0,0.03,0.03
2025,Current Assets,cagr,27531337783.0,0.04,0.04
2026,Current Assets,cagr,28768913353.0,0.04,0.04
2027,Current Assets,cagr,30062119830.0,0.04,0.04
2028,Current Assets,cagr,31413457908.0,0.04,0.04
2029,Current Assets,cagr,32825540692.0,0.04,0.04
2030,Current Assets,cagr,34301098747.0,0.04,0.04
2031,Current Assets,cagr,35842985385.0,0.04,0.04
2032,Current Assets,cagr,37454182175.0,0.04,0.04
2033,Current Assets,cagr,39137804716.0,0.04,0.04
2034,Current Assets,cagr,40897108654.0,0.04,0.04
2025,Current Assets,slope,29900500000.0,571700000.0,0.13
2026,Current Assets,slope,30472200000.0,571700000.0,0.02
2027,Current Assets,slope,31043900000.0,571700000.0,0.02
2028,Current Assets,slope,31615600000.0,571700000.0,0.02
2029,Current Assets,slope,32187300000.0,571700000.0,0.02
2030,Current Assets,slope,32759000000.0,571700000.0,0.02
2031,Current Assets,slope,33330700000.0,571700000.0,0.02
2032,Current Assets,slope,33902400000.0,571700000.0,0.02
2033,Current Assets,slope,34474100000.0,571700000.0,0.02
2034,Current Assets,slope,35045800000.0,571700000.0,0.02
2025,Current Assets,man_inp_growth,27137410000.0,0.03,0.03
2026,Current Assets,man_inp_growth,27951532300.0,0.03,0.03
2027,Current Assets,man_inp_growth,28790078269.0,0.03,0.03
2028,Current Assets,man_inp_growth,29653780617.0,0.03,0.03
2029,Current Assets,man_inp_growth,30543394036.0,0.03,0.03
2030,Current Assets,man_inp_growth,31459695857.0,0.03,0.03
2031,Current Assets,man_inp_growth,32403486732.0,0.03,0.03
2032,Current Assets,man_inp_growth,33375591334.0,0.03,0.03
2033,Current Assets,man_inp_growth,34376859074.0,0.03,0.03
2034,Current Assets,man_inp_growth,35408164847.0,0.03,0.03
2025,Current Liabilities,cagr,47004654286.0,0.02,0.02
2026,Current Liabilities,cagr,47984309361.0,0.02,0.02
2027,Current Liabilities,cagr,48984382076.0,0.02,0.02
2028,Current Liabilities,cagr,50005297967.0,0.02,0.02
2029,Current Liabilities,cagr,51047491441.0,0.02,0.02
2030,Current Liabilities,cagr,52111405958.0,0.02,0.02
2031,Current Liabilities,cagr,53197494221.0,0.02,0.02
2032,Current Liabilities,cagr,54306218368.0,0.02,0.02
2033,Current Liabilities,cagr,55438050167.0,0.02,0.02
2034,Current Liabilities,cagr,56593471222.0,0.02,0.02
2025,Current Liabilities,slope,48019000000.0,677200000.0,0.04
2026,Current Liabilities,slope,48696200000.0,677200000.0,0.01
2027,Current Liabilities,slope,49373400000.0,677200000.0,0.01
